name,surname,email,password,dateOfBirth,dateJoined,jobTitle,department,isManager,managerEmail,status,sex,nationality,phoneNumber
Ricky,Evans,ricky.evans@fripl.com,123456789,1976-09-29,2021-11-29,Logistics Manager,Operations,Yes,kenneth.khan@fripl.com,active,female,Albania,244-121-8246x851
Kevin,Hale,kevin.hale@fripl.com,123456789,1991-10-19,2022-11-25,Logistics Manager,Operations,Yes,kenneth.khan@fripl.com,active,male,United States Minor Outlying Islands,080.677.0273x2588
Michael,Foster,michael.foster@fripl.com,123456789,1982-05-12,2021-07-29,Account Executive,Sales,No,matthew.snyder@fripl.com,active,male,Solomon Islands,890-702-6231
Edward,Wolfe,edward.wolfe@fripl.com,123456789,1965-08-14,2022-05-06,HR Coordinator,Human Ressources,No,anthony.frost@fripl.com,active,female,Egypt,+1-788-877-7871x579
Caitlin,Ballard,caitlin.ballard@fripl.com,123456789,1967-03-13,2022-07-21,HR Specialist,Human Ressources,No,anthony.frost@fripl.com,active,male,Armenia,399-733-0351x74900
Lonnie,Harris,lonnie.harris@fripl.com,123456789,1966-07-27,2023-12-15,Marketing Coordinator,Marketing,No,adam.ware@fripl.com,active,male,New Caledonia,217.759.5259
Amy,Gallagher,amy.gallagher@fripl.com,123456789,1988-10-09,2024-01-13,Marketing Manager,Marketing,Yes,adam.ware@fripl.com,active,male,Ghana,809-276-5882
Paul,Robles,paul.robles@fripl.com,123456789,1973-10-12,2023-01-27,HR Coordinator,Human Ressources,No,anthony.frost@fripl.com,active,female,Austria,6307505951
Marie,Shields,marie.shields@fripl.com,123456789,1977-07-27,2021-11-04,Paralegal,Legal,No,melinda.brown@fripl.com,active,female,Georgia,001-703-965-5397
Megan,Cabrera,megan.cabrera@fripl.com,123456789,1998-03-11,2022-04-16,HR Manager,Human Ressources,Yes,anthony.frost@fripl.com,active,male,Botswana,839-348-2749
Michael,Powell,michael.powell@fripl.com,123456789,1989-08-19,2025-03-20,HR Coordinator,Human Ressources,No,anthony.frost@fripl.com,active,male,Chad,376.397.6986x05945
Yvonne,Watson,yvonne.watson@fripl.com,123456789,2002-10-08,2020-10-10,Corporate Counsel,Legal,No,melinda.brown@fripl.com,active,female,Kuwait,107.802.5736x1358
Joseph,Jefferson,joseph.jefferson@fripl.com,123456789,1981-11-12,2025-03-22,IT Support,Information technology,No,ann.thompson@fripl.com,active,female,Madagascar,(746)424-0741
Maria,Gomez,maria.gomez@fripl.com,123456789,1979-01-22,2024-01-27,Logistics Manager,Operations,Yes,kenneth.khan@fripl.com,active,female,Christmas Island,+1-947-642-7225x25305
Alex,Hardy,alex.hardy@fripl.com,123456789,1970-05-08,2022-12-03,Legal Assistant,Legal,No,melinda.brown@fripl.com,active,female,Korea,+1-205-038-6217
Deborah,Haas,deborah.haas@fripl.com,123456789,1990-11-30,2021-03-28,Sales Associate,Sales,No,matthew.snyder@fripl.com,active,female,Estonia,+1-980-650-8296x69852
Brooke,Rivera,brooke.rivera@fripl.com,123456789,1996-01-13,2023-03-10,Corporate Counsel,Legal,No,melinda.brown@fripl.com,active,female,Seychelles,465-292-3435
Daniel,Whitney,daniel.whitney@fripl.com,123456789,1989-03-04,2023-07-06,HR Manager,Human Ressources,Yes,anthony.frost@fripl.com,active,male,Wallis and Futuna,576-474-2596x58161
Nicole,Pacheco,nicole.pacheco@fripl.com,123456789,1975-06-18,2022-07-08,Sales Manager,Sales,Yes,matthew.snyder@fripl.com,active,female,South Georgia and the South Sandwich Islands,001-121-644-6790x47152
Laura,Williams,laura.williams@fripl.com,123456789,1970-04-10,2024-07-21,Operations Manager,Operations,Yes,kenneth.khan@fripl.com,active,male,Taiwan,+1-227-546-7639x15228
Leah,Rosales,leah.rosales@fripl.com,123456789,1980-11-13,2020-06-07,Corporate Counsel,Legal,No,melinda.brown@fripl.com,active,male,Estonia,771-415-7050
Samantha,Gallagher,samantha.gallagher@fripl.com,123456789,1965-12-11,2023-04-13,Accountant,Finance,No,kristina.brandt@fripl.com,active,female,Morocco,124.025.8186
David,Carson,david.carson@fripl.com,123456789,1965-02-19,2022-06-20,Marketing Coordinator,Marketing,No,adam.ware@fripl.com,active,male,Cayman Islands,148.588.9665
Wayne,Mitchell,wayne.mitchell@fripl.com,123456789,2001-08-19,2021-10-18,HR Manager,Human Ressources,Yes,anthony.frost@fripl.com,active,female,Saint Lucia,(074)377-4799
Steven,Durham,steven.durham@fripl.com,123456789,1991-04-24,2022-07-30,HR Coordinator,Human Ressources,No,anthony.frost@fripl.com,active,male,Nauru,001-889-834-9020
Tammy,Mendoza,tammy.mendoza@fripl.com,123456789,1969-01-15,2022-12-29,Operations Associate,Operations,No,kenneth.khan@fripl.com,active,female,Macao,910-037-4062
Susan,Johnson,susan.johnson@fripl.com,123456789,1999-10-24,2020-08-02,HR Manager,Human Ressources,Yes,anthony.frost@fripl.com,active,male,French Guiana,001-092-306-4711x11630
Kimberly,Scott,kimberly.scott@fripl.com,123456789,1994-08-03,2024-01-17,HR Coordinator,Human Ressources,No,anthony.frost@fripl.com,active,male,Romania,(742)226-4536x59659
Lance,Wood,lance.wood@fripl.com,123456789,1964-12-08,2022-03-22,Paralegal,Legal,No,melinda.brown@fripl.com,active,female,Bolivia,(738)533-1856
Oscar,Malone,oscar.malone@fripl.com,123456789,1998-08-20,2020-06-12,Legal Assistant,Legal,No,melinda.brown@fripl.com,active,male,Kuwait,+1-998-066-9009x87506
James,Walton,james.walton@fripl.com,123456789,2001-06-29,2020-08-23,Sales Associate,Sales,No,matthew.snyder@fripl.com,active,male,Zimbabwe,498.425.4298
Rachel,Montoya,rachel.montoya@fripl.com,123456789,1987-05-11,2023-08-05,Content Strategist,Marketing,No,adam.ware@fripl.com,active,female,Iraq,070-466-2486
Lauren,Graham,lauren.graham@fripl.com,123456789,1976-07-27,2021-04-29,Finance Manager,Finance,Yes,kristina.brandt@fripl.com,active,female,Liechtenstein,5172909107
Tony,Tapia,tony.tapia@fripl.com,123456789,1978-03-22,2022-10-26,IT Support,Information technology,No,ann.thompson@fripl.com,active,female,Pakistan,001-346-729-7772x366
Laura,Cooper,laura.cooper@fripl.com,123456789,1968-05-02,2023-02-10,Logistics Manager,Operations,Yes,kenneth.khan@fripl.com,active,female,Austria,+1-254-604-1620x685
Steven,Bridges,steven.bridges@fripl.com,123456789,1968-07-07,2023-10-20,HR Specialist,Human Ressources,No,anthony.frost@fripl.com,active,male,Guam,(435)614-7088
Miguel,Marshall,miguel.marshall@fripl.com,123456789,2002-03-10,2021-08-05,HR Coordinator,Human Ressources,No,anthony.frost@fripl.com,active,female,Ukraine,+1-425-053-3912
Whitney,Clark,whitney.clark@fripl.com,123456789,1973-12-19,2024-05-23,Account Executive,Sales,No,matthew.snyder@fripl.com,active,male,Honduras,775.945.6947
Jennifer,Gutierrez,jennifer.gutierrez@fripl.com,123456789,1979-09-19,2024-11-09,Content Strategist,Marketing,No,adam.ware@fripl.com,active,male,Lesotho,(384)416-3567x5673
Paula,Grimes,paula.grimes@fripl.com,123456789,1969-11-08,2020-05-20,HR Coordinator,Human Ressources,No,anthony.frost@fripl.com,active,male,Malaysia,001-871-748-8305x82122
Cameron,Burns,cameron.burns@fripl.com,123456789,2002-03-26,2022-06-16,Corporate Counsel,Legal,No,melinda.brown@fripl.com,active,female,Lesotho,963-564-1734x646
Jonathan,Jensen,jonathan.jensen@fripl.com,123456789,1979-12-25,2022-07-29,Sales Manager,Sales,Yes,matthew.snyder@fripl.com,active,male,Ghana,3330339280
David,Garrett,david.garrett@fripl.com,123456789,1977-09-22,2024-05-24,Legal Assistant,Legal,No,melinda.brown@fripl.com,active,male,Pakistan,001-951-263-8497x1609
Keith,Prince,keith.prince@fripl.com,123456789,1981-01-09,2021-10-26,Operations Manager,Operations,Yes,kenneth.khan@fripl.com,active,male,Togo,571-018-9086x050
Christina,Gallegos,christina.gallegos@fripl.com,123456789,1974-11-23,2022-12-01,Sales Associate,Sales,No,matthew.snyder@fripl.com,active,female,Bolivia,001-877-219-3369x1336
Jennifer,Juarez,jennifer.juarez@fripl.com,123456789,1996-09-04,2020-06-18,HR Coordinator,Human Ressources,No,anthony.frost@fripl.com,active,male,Isle of Man,+1-931-938-0481x97532
Kayla,Garcia,kayla.garcia@fripl.com,123456789,1965-04-22,2021-10-09,IT Support,Information technology,No,ann.thompson@fripl.com,active,female,Monaco,198.179.8083x306
Richard,Brown,richard.brown@fripl.com,123456789,1967-11-23,2021-06-08,Logistics Manager,Operations,Yes,kenneth.khan@fripl.com,active,female,Svalbard & Jan Mayen Islands,189.315.7128x033
Brandon,Schroeder,brandon.schroeder@fripl.com,123456789,1988-02-12,2021-11-06,Finance Manager,Finance,Yes,kristina.brandt@fripl.com,active,male,United States of America,(044)924-3805x82043
Victoria,Watson,victoria.watson@fripl.com,123456789,1996-01-29,2021-08-04,Account Executive,Sales,No,matthew.snyder@fripl.com,active,male,Guinea-Bissau,+1-774-433-0727x804
Theresa,Herring,theresa.herring@fripl.com,123456789,1972-09-21,2020-06-30,Sales Manager,Sales,Yes,matthew.snyder@fripl.com,active,female,Tokelau,(077)601-0639x25101
Robert,Davis,robert.davis@fripl.com,123456789,1999-08-03,2024-11-08,IT Manager,Information technology,Yes,ann.thompson@fripl.com,active,female,Brunei Darussalam,(821)310-3962
Anthony,Boyle,anthony.boyle@fripl.com,123456789,1966-10-21,2022-12-31,Account Executive,Sales,No,matthew.snyder@fripl.com,active,female,Panama,008.530.3897x2132
Richard,Ruiz,richard.ruiz@fripl.com,123456789,1975-05-18,2022-07-21,Finance Analyst,Finance,No,kristina.brandt@fripl.com,active,male,Afghanistan,788.729.1469
Harry,Morris,harry.morris@fripl.com,123456789,1986-05-07,2022-08-21,Marketing Manager,Marketing,Yes,adam.ware@fripl.com,active,female,Nauru,871-562-0383x1345
Megan,Lester,megan.lester@fripl.com,123456789,1990-05-29,2022-02-15,Operations Manager,Operations,Yes,kenneth.khan@fripl.com,active,male,Rwanda,+1-406-846-6456x73631
Randall,Wagner,randall.wagner@fripl.com,123456789,1973-11-25,2024-05-20,IT Support,Information technology,No,ann.thompson@fripl.com,active,male,Israel,854-984-8236
David,Johnson,david.johnson@fripl.com,123456789,1998-08-16,2023-10-28,Legal Assistant,Legal,No,melinda.brown@fripl.com,active,male,France,001-258-615-9071x404
David,Garcia,david.garcia@fripl.com,123456789,1981-01-03,2020-10-12,Accountant,Finance,No,kristina.brandt@fripl.com,active,male,Gibraltar,992.610.2551
Michael,Richardson,michael.richardson@fripl.com,123456789,1999-12-16,2023-01-05,Finance Analyst,Finance,No,kristina.brandt@fripl.com,active,male,Uzbekistan,818-076-0890x96908
Lawrence,Perkins,lawrence.perkins@fripl.com,123456789,2002-02-12,2022-09-26,Logistics Manager,Operations,Yes,kenneth.khan@fripl.com,active,female,Isle of Man,(635)611-4299x98822
Christopher,Chavez,christopher.chavez@fripl.com,123456789,1981-03-25,2022-10-16,HR Coordinator,Human Ressources,No,anthony.frost@fripl.com,active,male,Malawi,001-061-454-4165x2773
Julie,Robinson,julie.robinson@fripl.com,123456789,1987-08-25,2022-04-03,HR Coordinator,Human Ressources,No,anthony.frost@fripl.com,active,male,Cocos (Keeling) Islands,(599)134-5686
Jeffrey,Brown,jeffrey.brown@fripl.com,123456789,1970-10-20,2020-11-03,Finance Analyst,Finance,No,kristina.brandt@fripl.com,active,female,Lesotho,171-168-1874x89144
Robin,Lewis,robin.lewis@fripl.com,123456789,1978-03-22,2024-05-31,Finance Analyst,Finance,No,kristina.brandt@fripl.com,active,female,Liechtenstein,546.225.4326
Diana,Sanchez,diana.sanchez@fripl.com,123456789,1987-08-10,2020-07-14,Logistics Manager,Operations,Yes,kenneth.khan@fripl.com,active,female,Zambia,842.718.1563
Kathleen,Taylor,kathleen.taylor@fripl.com,123456789,1967-12-15,2023-09-13,HR Coordinator,Human Ressources,No,anthony.frost@fripl.com,active,female,Bouvet Island (Bouvetoya),(879)241-4979x692
Latoya,Trujillo,latoya.trujillo@fripl.com,123456789,2002-06-18,2022-02-09,Finance Analyst,Finance,No,kristina.brandt@fripl.com,active,male,Algeria,(810)754-8389x833
Mr.,David,mr..david@fripl.com,123456789,1969-10-24,2021-05-02,Paralegal,Legal,No,melinda.brown@fripl.com,active,female,Pakistan,409-273-4463x503
Amy,Huff,amy.huff@fripl.com,123456789,1999-10-12,2022-01-23,Marketing Coordinator,Marketing,No,adam.ware@fripl.com,active,female,Armenia,001-439-099-6479
Troy,Hale,troy.hale@fripl.com,123456789,1993-11-10,2024-07-27,Sales Manager,Sales,Yes,matthew.snyder@fripl.com,active,male,British Indian Ocean Territory (Chagos Archipelago),629-451-8968
Kyle,Moreno,kyle.moreno@fripl.com,123456789,1983-08-11,2021-03-02,Logistics Manager,Operations,Yes,kenneth.khan@fripl.com,active,male,Togo,632-119-3486x605
Sherry,Galloway,sherry.galloway@fripl.com,123456789,1977-12-09,2022-08-31,Marketing Coordinator,Marketing,No,adam.ware@fripl.com,active,female,Japan,481.270.7202
Christopher,Haynes,christopher.haynes@fripl.com,123456789,1968-12-12,2020-12-10,Marketing Manager,Marketing,Yes,adam.ware@fripl.com,active,male,Guatemala,(260)861-5381
Anne,Adams,anne.adams@fripl.com,123456789,1965-08-10,2021-05-18,Sales Associate,Sales,No,matthew.snyder@fripl.com,active,female,Benin,495-871-9150x797
Steven,Smith,steven.smith@fripl.com,123456789,1978-12-25,2023-12-22,Paralegal,Legal,No,melinda.brown@fripl.com,active,female,Montenegro,001-653-248-7982x104
Desiree,James,desiree.james@fripl.com,123456789,1992-01-20,2024-05-22,Legal Assistant,Legal,No,melinda.brown@fripl.com,active,male,Greece,3456090503
Jessica,Prince,jessica.prince@fripl.com,123456789,1989-07-27,2021-07-30,Legal Assistant,Legal,No,melinda.brown@fripl.com,active,female,Germany,466.148.4978x910
Darryl,Crosby,darryl.crosby@fripl.com,123456789,1978-06-19,2024-06-28,Marketing Manager,Marketing,Yes,adam.ware@fripl.com,active,male,Guadeloupe,(100)797-7474
Adam,Cook,adam.cook@fripl.com,123456789,2000-09-24,2020-06-12,HR Specialist,Human Ressources,No,anthony.frost@fripl.com,active,female,Djibouti,549-261-0337
Rachel,Warren,rachel.warren@fripl.com,123456789,1979-12-23,2023-06-25,Account Executive,Sales,No,matthew.snyder@fripl.com,active,female,Peru,511.384.4852
Jeffrey,Hodges,jeffrey.hodges@fripl.com,123456789,1990-10-21,2022-08-09,Legal Assistant,Legal,No,melinda.brown@fripl.com,active,male,Australia,558.167.6876x4003
Christine,Murray,christine.murray@fripl.com,123456789,1968-01-01,2022-08-26,Corporate Counsel,Legal,No,melinda.brown@fripl.com,active,male,Rwanda,733-171-9934x92871
Christine,Wood,christine.wood@fripl.com,123456789,1996-08-20,2023-01-13,Finance Analyst,Finance,No,kristina.brandt@fripl.com,active,male,Djibouti,4210174668
Mark,Cabrera,mark.cabrera@fripl.com,123456789,1981-09-01,2023-01-14,Corporate Counsel,Legal,No,melinda.brown@fripl.com,active,female,Barbados,001-174-505-6471
Heather,Wells,heather.wells@fripl.com,123456789,1992-03-21,2021-02-11,HR Specialist,Human Ressources,No,anthony.frost@fripl.com,active,female,Mali,955-571-2898x3111
Ann,Cannon,ann.cannon@fripl.com,123456789,1996-02-15,2024-10-28,Account Executive,Sales,No,matthew.snyder@fripl.com,active,female,Guadeloupe,207-194-9205x85805
Sean,Baker,sean.baker@fripl.com,123456789,1982-11-07,2023-06-01,Sales Associate,Sales,No,matthew.snyder@fripl.com,active,female,Austria,001-245-765-8088x649
Courtney,Bell,courtney.bell@fripl.com,123456789,1971-09-29,2023-07-25,Marketing Manager,Marketing,Yes,adam.ware@fripl.com,active,male,Jersey,(705)559-8159x6678
Julie,Young,julie.young@fripl.com,123456789,1976-11-10,2022-06-02,Logistics Manager,Operations,Yes,kenneth.khan@fripl.com,active,female,Lebanon,001-246-699-6507x77497
Sarah,Brown,sarah.brown@fripl.com,123456789,1986-05-02,2022-06-29,Logistics Manager,Operations,Yes,kenneth.khan@fripl.com,active,female,Antigua and Barbuda,001-871-849-1800x8132
Anthony,Weaver,anthony.weaver@fripl.com,123456789,1988-10-15,2024-02-08,Software Engineer,Information technology,No,ann.thompson@fripl.com,active,female,Antarctica (the territory South of 60 deg S),+1-520-161-2525x4111
